As of Date,Fiscal Year,Region,Borrower Country,Borrower Country Code,Project ID,Project Name,Procurement Type,Procurement Category,Procurement Method,Product line,Major Sector,WB Contract Number,Contract Description,Contract Signing Date,Supplier,Supplier Country,Supplier Country Code,Supplier State,Total Contract Amount (USD),Borrower Contract Reference Number,UN Supplier Flag
07/01/2007 12:00:00 AM,2008,ECA,Central Asia,7C,P124106,Regional One Health Project,Financial Services,CONSULTANT SERVICES,Individual Consultant Selection,Recipient Executed A,(H)Health & social,1312934,Finance,07/01/2007 12:00:00 AM,Individual Consultant,Kyrgyz Republic,KG,Not assigned,16800,RPMU/16/2,No
07/01/2007 12:00:00 AM,2008,ECA,Central Asia,7C,P124106,Regional One Health Project,Health Services,CONSULTANT SERVICES,Individual Consultant Selection,Recipient Executed A,(H)Health & social,1312922,Public Health Specialist,07/01/2007 12:00:00 AM,Individual Consultant,Kazakhstan,KZ,Not assigned,10800,RPMU/21/2,No
07/01/2007 12:00:00 AM,2008,MNA,"Yemen, Republic",RY,P050706,RY-CIVIL SERVICE MODERN,Feasibility Studies,CONSULTANT SERVICES,Consultant Qualification  Selection,IBRD/IDA,Public Admin,1272127,PROVIDE TECHNICAL ASSISTANCE TO THE GOVERNMENT OF YEMEN ON :,07/02/2007 12:00:00 AM,STEEVE LABERGE,Canada,CA,Not assigned,123600,TCHNCL ASSTNCE- HOY HRMIS,No
07/01/2007 12:00:00 AM,2008,SAR,Bangladesh,BD,P074841,BD: HNP Sector Program,Management /Technical Advice,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,(H)Health & social,1274660,CS-7:ESTABLISHMENT OF PROGRAMME SUPPORT OFFICE (PSO) FOR MOH,07/09/2007 12:00:00 AM,GHIIB,Australia,AU,Not assigned,624939,CS-7: PROGRAMME SUPPORT OFFICE (,No
07/01/2007 12:00:00 AM,2008,SAR,Bangladesh,BD,P074841,BD: HNP Sector Program,Management /Technical Advice,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,(H)Health & social,1274660,CS-7:ESTABLISHMENT OF PROGRAMME SUPPORT OFFICE (PSO) FOR MOH,07/09/2007 12:00:00 AM,ADSL,Bangladesh,BD,Not assigned,624939,CS-7: PROGRAMME SUPPORT OFFICE (,No
07/01/2007 12:00:00 AM,2008,SAR,India,IN,P067216,KAR WSHD DEVELOPMENT,Management /Technical Advice,CONSULTANT SERVICES,Quality Based Selection,IBRD/IDA,Agriculture,1271508,HIRING OF MAN POWER CONSULTANCY SERVICES FOR SUJALA WATERSHE,07/11/2007 12:00:00 AM,DHV INDIA PRIVATE LIMITED,India,IN,Not assigned,698458,WBR # 95,No
07/02/2007 12:00:00 AM,2008,AFE,Madagascar,MG,P083351,MG-Integ Growth Poles,Management /Technical Advice,CONSULTANT SERVICES,Quality Based Selection,IBRD/IDA,Industry & Trade/Ser,1269538,FONCTION DE CHIEF EXECUTIVE OFFICER DE L'EDBM,07/02/2007 12:00:00 AM,PREGA RAMSAMY,Madagascar,MG,Not assigned,540000,198/C/PIC/2007,No
07/02/2007 12:00:00 AM,2008,AFE,Madagascar,MG,P083351,MG-Integ Growth Poles,Training Services,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Public Admin,1273216,MISE EN PLACE D UN CENTRE DE FORMATION PROFESSIONNELLE ET TE,08/01/2007 12:00:00 AM,ERD-INPF,Madagascar,MG,Not assigned,213108,208/C/PIC/2007,No
07/02/2007 12:00:00 AM,2008,AFW,Senegal,SN,P097181,SN-Nutr Enhanc.  Prog II - APL (FY07),"Equipment, Medical",GOODS,International Competitive Bidding,IBRD/IDA,(H)Health & social,1269256,SUPPLY OF MOSQUITO NETS AND AMTI-MOSQUITO PRODUCTS,08/09/2007 12:00:00 AM,SUMITOMO CORPORATION,Japan,JP,Not assigned,2625000,PRN//01/07,No
07/02/2007 12:00:00 AM,2008,EAP,Philippines,PH,P048588,PH-LGU FINANCE & DEV.,"Works, Installation",CIVIL WORKS,National Competitive Bidding,IBRD/IDA,Agriculture,1269918,IMPROVEMENT A ND EXPANSION OF LEVEL III WATER SUPPLY SYSTEM,07/09/2007 12:00:00 AM,ESR CONSTRUCTION,Philippines,PH,Not assigned,459657,EXPANSION OF LEVEL IIIWATER SUPP,No
