"pfCode","yr","period","periodDesc","aggrLevel","IsLeaf","rgCode","rgDesc","rtCode","rtTitle","rt3ISO","ptCode","ptTitle","pt3ISO","ptCode2","ptTitle2","pt3ISO2","cstCode","cstDesc","motCode","motDesc","cmdCode","cmdDescE","qtCode","qtDesc","qtAltCode","qtAltDesc","TradeQuantity","AltQuantity","NetWeight","GrossWeight","TradeValue","CIFValue","FOBValue","estCode"
"H5",2020,2020,"2020",0,0,1,"Import",8,"Albania","ALB",496,"Mongolia","MNG",NA,"","","","","","","TOTAL","All Commodities",1,"No Quantity",NA,"",0,NA,0,NA,906,NA,NA,0
"H5",2020,2020,"2020",0,0,1,"Import",31,"Azerbaijan","AZE",496,"Mongolia","MNG",NA,"","","","","","","TOTAL","All Commodities",1,"No Quantity",NA,"",0,NA,0,NA,67798,NA,NA,0
"H5",2020,2020,"2020",0,0,2,"Export",31,"Azerbaijan","AZE",496,"Mongolia","MNG",NA,"","","","","","","TOTAL","All Commodities",1,"No Quantity",NA,"",0,NA,0,NA,109192,NA,NA,0
"H5",2020,2020,"2020",0,0,1,"Import",32,"Argentina","ARG",496,"Mongolia","MNG",NA,"","","","","","","TOTAL","All Commodities",1,"No Quantity",NA,"",0,NA,0,NA,352,NA,NA,0
"H5",2020,2020,"2020",0,0,2,"Export",32,"Argentina","ARG",496,"Mongolia","MNG",NA,"","","","","","","TOTAL","All Commodities",1,"No Quantity",NA,"",0,NA,0,NA,2716693,NA,NA,0
"H5",2020,2020,"2020",0,0,1,"Import",36,"Australia","AUS",496,"Mongolia","MNG",NA,"","","","","","","TOTAL","All Commodities",1,"No Quantity",NA,"",0,NA,0,NA,388009,NA,NA,4
"H5",2020,2020,"2020",0,0,2,"Export",36,"Australia","AUS",496,"Mongolia","MNG",NA,"","","","","","","TOTAL","All Commodities",1,"No Quantity",NA,"",0,NA,0,NA,24152720,NA,NA,4
"H5",2020,2020,"2020",0,0,1,"Import",40,"Austria","AUT",496,"Mongolia","MNG",NA,"","","","","","","TOTAL","All Commodities",1,"No Quantity",NA,"",0,NA,0,NA,3356711,NA,NA,4
"H5",2020,2020,"2020",0,0,2,"Export",40,"Austria","AUT",496,"Mongolia","MNG",NA,"","","","","","","TOTAL","All Commodities",1,"No Quantity",NA,"",0,NA,0,NA,27982029,NA,NA,4
"H5",2020,2020,"2020",0,0,1,"Import",51,"Armenia","ARM",496,"Mongolia","MNG",NA,"","","","","","","TOTAL","All Commodities",1,"No Quantity",NA,"",0,NA,0,NA,204,NA,NA,0
"H5",2020,2020,"2020",0,0,2,"Export",51,"Armenia","ARM",496,"Mongolia","MNG",NA,"","","","","","","TOTAL","All Commodities",1,"No Quantity",NA,"",0,NA,0,NA,218475,NA,NA,0
"H5",2020,2020,"2020",0,0,3,"Re-Export",51,"Armenia","ARM",496,"Mongolia","MNG",NA,"","","","","","","TOTAL","All Commodities",1,"No Quantity",NA,"",0,NA,0,NA,83600,NA,NA,0
"H5",2020,2020,"2020",0,0,1,"Import",56,"Belgium","BEL",496,"Mongolia","MNG",NA,"","","","","","","TOTAL","All Commodities",1,"No Quantity",NA,"",0,NA,0,NA,186591,NA,NA,0
"H5",2020,2020,"2020",0,0,2,"Export",56,"Belgium","BEL",496,"Mongolia","MNG",NA,"","","","","","","TOTAL","All Commodities",1,"No Quantity",NA,"",0,NA,0,NA,12612300,NA,NA,4
"H5",2020,2020,"2020",0,0,1,"Import",60,"Bermuda","BMU",496,"Mongolia","MNG",NA,"","","","","","","TOTAL","All Commodities",1,"No Quantity",NA,"",0,NA,0,NA,119,NA,NA,0
"H5",2020,2020,"2020",0,0,1,"Import",68,"Bolivia (Plurinational State of)","BOL",496,"Mongolia","MNG",NA,"","","","","","","TOTAL","All Commodities",1,"No Quantity",NA,"",0,NA,0,NA,220,NA,NA,0
"H5",2020,2020,"2020",0,0,1,"Import",70,"Bosnia Herzegovina","BIH",496,"Mongolia","MNG",NA,"","","","","","","TOTAL","All Commodities",1,"No Quantity",NA,"",0,NA,0,NA,5393,NA,NA,0
"H5",2020,2020,"2020",0,0,2,"Export",70,"Bosnia Herzegovina","BIH",496,"Mongolia","MNG",NA,"","","","","","","TOTAL","All Commodities",1,"No Quantity",NA,"",0,NA,0,NA,10114,NA,NA,0
"H5",2020,2020,"2020",0,0,1,"Import",76,"Brazil","BRA",496,"Mongolia","MNG",NA,"","","","","","","TOTAL","All Commodities",1,"No Quantity",NA,"",0,NA,0,NA,261690,NA,NA,4
"H5",2020,2020,"2020",0,0,2,"Export",76,"Brazil","BRA",496,"Mongolia","MNG",NA,"","","","","","","TOTAL","All Commodities",1,"No Quantity",NA,"",0,NA,0,NA,2421372,NA,NA,4
"H5",2020,2020,"2020",0,0,1,"Import",104,"Myanmar","MMR",496,"Mongolia","MNG",NA,"","","","","","","TOTAL","All Commodities",1,"No Quantity",NA,"",0,NA,0,NA,19799,NA,NA,4
"H5",2020,2020,"2020",0,0,2,"Export",104,"Myanmar","MMR",496,"Mongolia","MNG",NA,"","","","","","","TOTAL","All Commodities",1,"No Quantity",NA,"",0,NA,0,NA,10250,NA,NA,0
"H5",2020,2020,"2020",0,0,1,"Import",112,"Belarus","BLR",496,"Mongolia","MNG",NA,"","","","","","","TOTAL","All Commodities",1,"No Quantity",NA,"",0,NA,0,NA,153600,NA,NA,4
"H5",2020,2020,"2020",0,0,2,"Export",112,"Belarus","BLR",496,"Mongolia","MNG",NA,"","","","","","","TOTAL","All Commodities",1,"No Quantity",NA,"",0,NA,0,NA,49176000,NA,NA,4
"H5",2020,2020,"2020",0,0,1,"Import",124,"Canada","CAN",496,"Mongolia","MNG",NA,"","","","","","","TOTAL","All Commodities",1,"No Quantity",NA,"",0,NA,NA,NA,1038658,NA,NA,0
