As of Date,Fiscal Year,Region,Borrower Country,Borrower Country Code,Project ID,Project Name,Procurement Type,Procurement Category,Procurement Method,Product line,Major Sector,WB Contract Number,Contract Description,Contract Signing Date,Supplier,Supplier Country,Supplier Country Code,Supplier State,Total Contract Amount (USD),Borrower Contract Reference Number,UN Supplier Flag
07/01/2017 12:00:00 AM,2018,MNA,Djibouti,DJ,P127144,DJ-GEF Geothermal Power Generation Prgrm,Project Management,CONSULTANT SERVICES,Single Source Selection,GEF,Energy & Extractives,1549252,Coordinateur de projet,07/01/2017 12:00:00 AM,KAYAD MOUSSA AHMAD,Djibouti,DJ,Not assigned,176174,004/CBM/2015,No
07/03/2017 12:00:00 AM,2018,AFE,"Congo, Democrat",ZR,P147555,DRC -Health System Strengthening Project,Project Management,CONSULTANT SERVICES,Individual Consultant Selection,IBRD/IDA,Health,1551300,AUDITEUR INTERNE EN APPUI A LA CELLULE DÃ¢  AUDIT INTERNE DU,07/15/2017 12:00:00 AM,Individual Consultant,"Congo, Democrat",ZR,Not assigned,52500,225/PDSS/2017/SC,No
07/03/2017 12:00:00 AM,2018,AFW,Western Africa,3W,P093806,3A-Niger Basin Water Resources,Audit Services,CONSULTANT SERVICES,Single Source Selection,IBRD/IDA,Water/Sanit/Waste,1549264,"Audit 2016 du Projet DREGDE au Benin, Guinee, Mali, Niger Ni",07/03/2017 12:00:00 AM,COFIMA,Benin,BJ,Not assigned,53656,NR/001/2017/PDREGDE/ABN,No
07/04/2017 12:00:00 AM,2018,AFW,Liberia,LR,P149683,Liberia Renewable Energy Access Project,Project Management,CONSULTANT SERVICES,Single Source Selection,IBRD/IDA,Energy & Extractives,1549516,Consulting Services as Project Coordination for LIRENAP,06/01/2017 12:00:00 AM,EUNICE P. DAHN,Liberia,LR,Not assigned,30900,RREA/LIR/CONS/010,No
07/04/2017 12:00:00 AM,2018,SAR,India,IN,P107649,IN:Karnataka State Highway Improv Pro II,"Equipment, Transportation",GOODS,International Competitive Bidding,IBRD/IDA,Transportation,1551025,Procurement of Quality Assurance and Quality Control  Equipm,07/26/2017 12:00:00 AM,M/S. ENKAY ENTERPRISES,India,IN,Not assigned,892375,WBR 50/1,No
07/04/2017 12:00:00 AM,2018,SAR,India,IN,P107649,IN:Karnataka State Highway Improv Pro II,"Equipment, Transportation",GOODS,International Competitive Bidding,IBRD/IDA,Transportation,1551087,Procurement of Quality Assurance and Quality Control Equipme,07/28/2017 12:00:00 AM,ASIAN CONTEC LTD,India,IN,Not assigned,575518,WBR 50/3,No
07/05/2017 12:00:00 AM,2018,AFE,"Congo, Democrat",ZR,P147555,DRC -Health System Strengthening Project,Project Management,CONSULTANT SERVICES,Individual Consultant Selection,IBRD/IDA,Health,1551349,CONSULTANT CHARGE DE LA MISE EN PLACE ET DU SUIVI DU CONTRAT,07/08/2017 12:00:00 AM,Individual Consultant,"Congo, Democrat",ZR,Not assigned,41200,253/PDSS/2017/SC,No
07/05/2017 12:00:00 AM,2018,AFE,"Congo, Democrat",ZR,P106982,DRC-Growth w/ Gov in Mineral Sector,Awareness Campaigns,CONSULTANT SERVICES,Single Source Selection,IBRD/IDA,Energy & Extractives,1551935,Facilitation de la deuxiÃÂ¨me confÃÂ©rence nationale sur l,07/12/2017 12:00:00 AM,STRATEGIES SARL,Cameroon,CM,Not assigned,49309,PROMINES NÂ°041-013/2017,No
07/05/2017 12:00:00 AM,2018,LCR,Haiti,HT,P120895,HT MST Infra. & Instit. Emerg Recov.j,Project Management,CONSULTANT SERVICES,Individual Consultant Selection,IBRD/IDA,Public Admin,1550142,ASSISTANCE TECHNIQUE A L'ULCC DANS LE CADRE DE LE REFORME IN,07/05/2017 12:00:00 AM,Individual Consultant,Haiti,HT,Not assigned,82368,P120895,No
07/06/2017 12:00:00 AM,2018,AFE,Angola,AO,P151224,AO:Water Sector Institutional Dev.2,Not assigned,CIVIL WORKS,Request for Bids,IBRD/IDA,Water/Sanit/Waste,1548199,Design and construction of network and home connections in M,06/20/2017 12:00:00 AM,JIANGSU GEOLOGY & ENGINEERING CO. LTD,China,CN,Not assigned,8096603,1W3/MALANJE/DNA/16,No
07/06/2017 12:00:00 AM,2018,AFE,Mozambique,MZ,P149377,Water Service & Institutional Support II,Not assigned,CIVIL WORKS,Request for Bids,IBRD/IDA,Water/Sanit/Waste,1552082,Design and Built of Pemba Transmission Main - FIPAG/WASISII/,10/31/2017 12:00:00 AM,CHINA HENAN INTERNATIONAL COPERATION GROUP COMPANY. LTD,China,CN,Not assigned,13747364,FIPAG/WASISII/W-2/15,No
07/06/2017 12:00:00 AM,2018,AFE,Somalia,SO,P150374,Somali Urban Investment Planning,Not assigned,GOODS,Request for Quotations,Recipient EOthersecuted A,Others,1548257,HM PROTECTIVE GEAR FOR WASTE WORKERS,07/12/2017 12:00:00 AM,CAWIL CAWL TRADING COMPANY,Somalia,SO,Not assigned,24200,SO-HM-16143-GO-RFQ,No
07/06/2017 12:00:00 AM,2018,AFE,Tanzania,TZ,P123134,TZ-Dar es Salaam Metropolitan Project,Not assigned,CONSULTANT SERVICES,Quality And Cost-Based Selection,IBRD/IDA,Water/Sanit/Waste,1562696,Provision of Consultancy Services for Implementation Support,07/21/2017 12:00:00 AM,M/S SOFRECO,France,FR,Not assigned,2216412,TZ-PO-RALG-16600-CS-QCBS,No
07/06/2017 12:00:00 AM,2018,AFW,Liberia,LR,P128909,LR-Health Systems Strengthening (FY13),Training Services,CONSULTANT SERVICES,Consultant Qualification  Selection,IBRD/IDA,Health,1548646,Consultant Services as Performance Based Financing (PBF) Ass,07/07/2017 12:00:00 AM,THEOPHILE NTEZIRYAYO,Rwanda,RW,Not assigned,158759,PIU/HSSP: 1/2017.TA,No
07/06/2017 12:00:00 AM,2018,ECA,Uzbekistan,UZ,P153613,Livestock Sector Development Project,Not assigned,CONSULTANT SERVICES,Direct Selection,IBRD/IDA,Agriculture,1548201,Feasibility Study preparation,01/24/2017 12:00:00 AM,ISLOHOTKONSALTSERVIS,Uzbekistan,UZ,Not assigned,270000,LSDP/SSS/02,No
07/06/2017 12:00:00 AM,2018,ECA,Uzbekistan,UZ,P146328,Pap-Angren Railway,"Equipment, Electrical",GOODS,International Competitive Bidding,IBRD/IDA,Transportation,1548215,wheel lathe,04/10/2017 12:00:00 AM,TECHSTROY,Russian Federat,RU,Not assigned,2295400,AP-04/9,No
07/06/2017 12:00:00 AM,2018,ECA,Uzbekistan,UZ,P146328,Pap-Angren Railway,"Equipment, Electrical",GOODS,International Competitive Bidding,IBRD/IDA,Transportation,1548218,motor car for installation of signals and interlocking and c,04/11/2017 12:00:00 AM,ROSTOK CIS K/S,Denmark,DK,Not assigned,3651000,AP-04/5,No
07/06/2017 12:00:00 AM,2018,ECA,Uzbekistan,UZ,P146328,Pap-Angren Railway,"Equipment, Electrical",GOODS,International Competitive Bidding,IBRD/IDA,Transportation,1548219,compressor station,04/10/2017 12:00:00 AM,CHKZ-EXPORT,Russian Federat,RU,Not assigned,610000,AP-04/18,No
07/06/2017 12:00:00 AM,2018,ECA,Uzbekistan,UZ,P146328,Pap-Angren Railway,"Equipment, Electrical",GOODS,International Competitive Bidding,IBRD/IDA,Transportation,1548225,trackside equipment and lathes,04/10/2017 12:00:00 AM,BELAM-RIGA,Latvia,LV,Not assigned,691196,AP-04/15,No
07/06/2017 12:00:00 AM,2018,ECA,Uzbekistan,UZ,P146328,Pap-Angren Railway,"Equipment, Electrical",GOODS,International Competitive Bidding,IBRD/IDA,Transportation,1548473,railway handcar,04/14/2017 12:00:00 AM,SOCIETE DES ANCIENS ETS. L. GEISMAR,France,FR,Not assigned,1326741,AP-04/3,No
